epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,7506.03,0.5753,0.41823,1.04252,0.91769,0.78881,0.85389,0.65519,0.93539,0.5098,1.01593,6.4092e-05,6.4092e-05,6.4092e-05
137,7561.01,0.57556,0.41366,1.047,0.89243,0.80096,0.83736,0.63799,0.94192,0.50071,1.01269,6.02112e-05,6.02112e-05,6.02112e-05
138,7615.98,0.56565,0.40759,1.03524,0.91234,0.79858,0.85599,0.65653,0.92565,0.48556,1.00983,5.63304e-05,5.63304e-05,5.63304e-05
139,7675.6,0.56046,0.39648,1.03761,0.90337,0.79883,0.84976,0.65582,0.93279,0.49207,1.01516,5.24496e-05,5.24496e-05,5.24496e-05
140,7734.4,0.54869,0.38937,1.03531,0.9227,0.79501,0.85423,0.65803,0.91923,0.48506,1.0019,4.85688e-05,4.85688e-05,4.85688e-05
141,7792.25,0.72361,0.33515,0.78765,0.88916,0.80056,0.83664,0.63952,0.9327,0.4863,1.02558,4.4688e-05,4.4688e-05,4.4688e-05
142,7847.5,0.6988,0.32606,0.78646,0.81951,0.79995,0.84315,0.63861,0.93266,0.48797,1.01956,4.08072e-05,4.08072e-05,4.08072e-05
143,7904.35,0.70869,0.32381,0.78197,0.92493,0.79978,0.83984,0.641,0.92402,0.49524,1.0147,3.69264e-05,3.69264e-05,3.69264e-05
144,7961.33,0.73216,0.32814,0.77097,0.81166,0.80809,0.84626,0.65113,0.91823,0.48168,1.01221,3.30456e-05,3.30456e-05,3.30456e-05
145,8015.54,0.69128,0.31153,0.77591,0.90552,0.79806,0.844,0.64833,0.91914,0.48484,1.00929,2.91648e-05,2.91648e-05,2.91648e-05
146,8083.08,0.71265,0.31655,0.76254,0.90695,0.8054,0.84558,0.64882,0.92113,0.47798,1.01046,2.5284e-05,2.5284e-05,2.5284e-05
147,8147.26,0.72957,0.31482,0.75859,0.92106,0.80007,0.84377,0.64772,0.922,0.47881,1.01244,2.14032e-05,2.14032e-05,2.14032e-05
148,8199.23,0.71038,0.31228,0.75554,0.90938,0.81026,0.8362,0.64148,0.9274,0.48405,1.01062,1.75224e-05,1.75224e-05,1.75224e-05
149,8250.89,0.70387,0.31825,0.76044,0.915,0.80507,0.84257,0.64953,0.91756,0.48184,1.00903,1.36416e-05,1.36416e-05,1.36416e-05
150,8302.73,0.72002,0.31735,0.76782,0.91025,0.80348,0.84154,0.64969,0.91123,0.47994,1.00271,9.7608e-06,9.7608e-06,9.7608e-06
